id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Badger State Manor,1000 Main Street,Friendship,Adams,WI,53001,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40001,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
244,Northwoods Care,1200 State Street,Wausau,Marathon,WI,53244,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40244,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.9258,-89.6501
245,Dairyland Village,1300 Oak Street,Wausau,Marathon,WI,53245,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40245,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.9358,-89.6401
246,Wisconsin Rapids Manor,1400 Maple Avenue,Wausau,Marathon,WI,53246,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40246,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.945800000000006,-89.6301
247,Great Lakes Commons,1500 Pine Street,Wausau,Marathon,WI,53247,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40247,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.9558,-89.6201
248,Timber Ridge Care,1600 Cedar Avenue,Wausau,Marathon,WI,53248,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40248,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.9658,-89.6101
249,Prairie Creek Manor,1700 First Street,Wausau,Marathon,WI,53249,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40249,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.97580000000001,-89.6001
250,Badger State Manor,1000 Main Street,Marinette,Marinette,WI,53250,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40250,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
251,Cheese Country Commons,1100 Wisconsin Avenue,Marinette,Marinette,WI,53251,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40251,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
252,Northwoods Care,1200 State Street,Marinette,Marinette,WI,53252,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40252,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
253,Dairyland Village,1300 Oak Street,Marinette,Marinette,WI,53253,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40253,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
254,Wisconsin Rapids Manor,1400 Maple Avenue,Marinette,Marinette,WI,53254,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40254,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
255,Great Lakes Commons,1500 Pine Street,Marinette,Marinette,WI,53255,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40255,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.marinette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
256,Badger State Manor,1000 Main Street,Montello,Marquette,WI,53256,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40256,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
257,Cheese Country Commons,1100 Wisconsin Avenue,Montello,Marquette,WI,53257,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40257,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
258,Northwoods Care,1200 State Street,Montello,Marquette,WI,53258,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40258,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
259,Dairyland Village,1300 Oak Street,Montello,Marquette,WI,53259,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40259,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
260,Wisconsin Rapids Manor,1400 Maple Avenue,Montello,Marquette,WI,53260,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40260,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
261,Great Lakes Commons,1500 Pine Street,Montello,Marquette,WI,53261,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40261,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.marquette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
262,Badger State Manor,1000 Main Street,Keshena,Menominee,WI,53262,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40262,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
263,Cheese Country Commons,1100 Wisconsin Avenue,Keshena,Menominee,WI,53263,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40263,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
264,Northwoods Care,1200 State Street,Keshena,Menominee,WI,53264,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40264,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
265,Dairyland Village,1300 Oak Street,Keshena,Menominee,WI,53265,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40265,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
266,Wisconsin Rapids Manor,1400 Maple Avenue,Keshena,Menominee,WI,53266,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40266,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
267,Great Lakes Commons,1500 Pine Street,Keshena,Menominee,WI,53267,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40267,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.menominee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
268,Badger State Manor,1000 Main Street,Milwaukee,Milwaukee,WI,53268,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40268,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9889,-87.9465
269,Cheese Country Commons,1100 Wisconsin Avenue,Milwaukee,Milwaukee,WI,53269,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40269,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9989,-87.9365
270,Northwoods Care,1200 State Street,Milwaukee,Milwaukee,WI,53270,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40270,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0089,-87.92649999999999
271,Dairyland Village,1300 Oak Street,Milwaukee,Milwaukee,WI,53271,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40271,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.018899999999995,-87.9165
272,Wisconsin Rapids Manor,1400 Maple Avenue,Milwaukee,Milwaukee,WI,53272,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40272,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0289,-87.9065
273,Great Lakes Commons,1500 Pine Street,Milwaukee,Milwaukee,WI,53273,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40273,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0389,-87.89649999999999
274,Timber Ridge Care,1600 Cedar Avenue,Milwaukee,Milwaukee,WI,53274,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40274,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.048899999999996,-87.8865
275,Prairie Creek Manor,1700 First Street,Milwaukee,Milwaukee,WI,53275,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40275,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0589,-87.8765
276,Lakeside Village,1800 Second Street,Milwaukee,Milwaukee,WI,53276,(422) 508-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,WI-ALF-40276,Wisconsin Department of Health Services,2024-11-09,83,False,True,True,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0689,-87.9465
277,Brewers Ridge,1900 Third Street,Milwaukee,Milwaukee,WI,53277,(423) 509-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,WI-ALF-40277,Wisconsin Department of Health Services,2024-03-10,84,True,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0789,-87.9365
278,Packers Commons,2000 Fourth Street,Milwaukee,Milwaukee,WI,53278,(424) 510-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,WI-ALF-40278,Wisconsin Department of Health Services,2024-04-11,85,False,True,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9889,-87.92649999999999
279,Maple Ridge Manor,2100 Fifth Street,Milwaukee,Milwaukee,WI,53279,(425) 511-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,WI-ALF-40279,Wisconsin Department of Health Services,2024-05-12,86,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9989,-87.9165
280,Cranberry Creek,2200 Lincoln Avenue,Milwaukee,Milwaukee,WI,53280,(426) 512-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,42,WI-ALF-40280,Wisconsin Department of Health Services,2024-06-13,87,True,True,True,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0089,-87.9065
281,Paper Mill Village,2300 Washington Street,Milwaukee,Milwaukee,WI,53281,(427) 513-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,43,WI-ALF-40281,Wisconsin Department of Health Services,2024-07-14,88,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.018899999999995,-87.89649999999999
282,Dairy Farm Commons,2400 Jefferson Street,Milwaukee,Milwaukee,WI,53282,(428) 514-1014,Senior Living,Assisted Living; Memory Care; Independent Living,44,WI-ALF-40282,Wisconsin Department of Health Services,2024-08-15,89,False,True,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0289,-87.8865
283,Lakeshore Manor,2500 Madison Avenue,Milwaukee,Milwaukee,WI,53283,(429) 515-1015,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,45,WI-ALF-40283,Wisconsin Department of Health Services,2024-09-16,90,True,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0389,-87.8765
284,Northland Village,2600 Lake Street,Milwaukee,Milwaukee,WI,53284,(430) 516-1016,Senior Living,Continuing Care; Adult Day Services; Personal Care,46,WI-ALF-40284,Wisconsin Department of Health Services,2024-10-17,91,False,True,True,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.048899999999996,-87.9465
285,Pinecrest Commons,2700 Park Avenue,Milwaukee,Milwaukee,WI,53285,(431) 517-1017,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,47,WI-ALF-40285,Wisconsin Department of Health Services,2024-11-18,92,False,False,False,https://www.milwaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0589,-87.9365
286,Badger State Manor,1000 Main Street,Sparta,Monroe,WI,53286,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40286,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
287,Cheese Country Commons,1100 Wisconsin Avenue,Sparta,Monroe,WI,53287,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40287,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
288,Northwoods Care,1200 State Street,Sparta,Monroe,WI,53288,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40288,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
289,Dairyland Village,1300 Oak Street,Sparta,Monroe,WI,53289,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40289,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
290,Wisconsin Rapids Manor,1400 Maple Avenue,Sparta,Monroe,WI,53290,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40290,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
291,Great Lakes Commons,1500 Pine Street,Sparta,Monroe,WI,53291,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40291,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.monroe-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
292,Badger State Manor,1000 Main Street,Oconto,Oconto,WI,53292,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40292,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
293,Cheese Country Commons,1100 Wisconsin Avenue,Oconto,Oconto,WI,53293,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40293,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
294,Northwoods Care,1200 State Street,Oconto,Oconto,WI,53294,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40294,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
295,Dairyland Village,1300 Oak Street,Oconto,Oconto,WI,53295,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40295,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
296,Wisconsin Rapids Manor,1400 Maple Avenue,Oconto,Oconto,WI,53296,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40296,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
297,Great Lakes Commons,1500 Pine Street,Oconto,Oconto,WI,53297,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40297,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.oconto-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
298,Badger State Manor,1000 Main Street,Rhinelander,Oneida,WI,53298,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40298,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
299,Cheese Country Commons,1100 Wisconsin Avenue,Rhinelander,Oneida,WI,53299,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40299,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
300,Northwoods Care,1200 State Street,Rhinelander,Oneida,WI,53300,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40300,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
301,Dairyland Village,1300 Oak Street,Rhinelander,Oneida,WI,53301,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40301,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
302,Wisconsin Rapids Manor,1400 Maple Avenue,Rhinelander,Oneida,WI,53302,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40302,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
303,Great Lakes Commons,1500 Pine Street,Rhinelander,Oneida,WI,53303,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40303,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.oneida-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
304,Badger State Manor,1000 Main Street,Appleton,Outagamie,WI,53304,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40304,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.2119,-88.45540000000001
305,Cheese Country Commons,1100 Wisconsin Avenue,Appleton,Outagamie,WI,53305,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40305,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.2219,-88.4454
306,Northwoods Care,1200 State Street,Appleton,Outagamie,WI,53306,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40306,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.231899999999996,-88.4354
307,Dairyland Village,1300 Oak Street,Appleton,Outagamie,WI,53307,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40307,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.241899999999994,-88.42540000000001
308,Wisconsin Rapids Manor,1400 Maple Avenue,Appleton,Outagamie,WI,53308,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40308,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.2519,-88.4154
309,Great Lakes Commons,1500 Pine Street,Appleton,Outagamie,WI,53309,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40309,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.2619,-88.4054
310,Timber Ridge Care,1600 Cedar Avenue,Appleton,Outagamie,WI,53310,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40310,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.271899999999995,-88.39540000000001
311,Prairie Creek Manor,1700 First Street,Appleton,Outagamie,WI,53311,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40311,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.outagamie-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.2819,-88.3854
312,Badger State Manor,1000 Main Street,Port Washington,Ozaukee,WI,53312,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40312,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
313,Cheese Country Commons,1100 Wisconsin Avenue,Port Washington,Ozaukee,WI,53313,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40313,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
314,Northwoods Care,1200 State Street,Port Washington,Ozaukee,WI,53314,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40314,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
315,Dairyland Village,1300 Oak Street,Port Washington,Ozaukee,WI,53315,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40315,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
316,Wisconsin Rapids Manor,1400 Maple Avenue,Port Washington,Ozaukee,WI,53316,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40316,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
317,Great Lakes Commons,1500 Pine Street,Port Washington,Ozaukee,WI,53317,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40317,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.ozaukee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
318,Badger State Manor,1000 Main Street,Durand,Pepin,WI,53318,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40318,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
319,Cheese Country Commons,1100 Wisconsin Avenue,Durand,Pepin,WI,53319,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40319,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
320,Northwoods Care,1200 State Street,Durand,Pepin,WI,53320,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40320,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
321,Dairyland Village,1300 Oak Street,Durand,Pepin,WI,53321,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40321,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
322,Wisconsin Rapids Manor,1400 Maple Avenue,Durand,Pepin,WI,53322,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40322,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
323,Great Lakes Commons,1500 Pine Street,Durand,Pepin,WI,53323,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40323,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.pepin-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
324,Badger State Manor,1000 Main Street,Ellsworth,Pierce,WI,53324,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40324,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.pierce-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
