id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
455,Circle City Manor,1300 Lincoln Avenue,Rushville,Rush,IN,46455,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30455,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.rush-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
456,Corn Belt Commons,1400 Oak Street,Rushville,Rush,IN,46456,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30456,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.rush-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
457,Indiana Crossroads,1500 Maple Avenue,Rushville,Rush,IN,46457,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30457,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.rush-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
458,Hoosier Heritage Manor,1000 Main Street,Scottsburg,Scott,IN,46458,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30458,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
459,Crossroads Commons,1100 State Street,Scottsburg,Scott,IN,46459,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30459,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
460,Wabash Valley Care,1200 Washington Street,Scottsburg,Scott,IN,46460,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30460,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
461,Circle City Manor,1300 Lincoln Avenue,Scottsburg,Scott,IN,46461,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30461,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
462,Corn Belt Commons,1400 Oak Street,Scottsburg,Scott,IN,46462,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30462,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
463,Indiana Crossroads,1500 Maple Avenue,Scottsburg,Scott,IN,46463,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30463,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.scott-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
464,Hoosier Heritage Manor,1000 Main Street,Shelbyville,Shelby,IN,46464,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30464,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
465,Crossroads Commons,1100 State Street,Shelbyville,Shelby,IN,46465,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30465,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
466,Wabash Valley Care,1200 Washington Street,Shelbyville,Shelby,IN,46466,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30466,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
467,Circle City Manor,1300 Lincoln Avenue,Shelbyville,Shelby,IN,46467,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30467,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
468,Corn Belt Commons,1400 Oak Street,Shelbyville,Shelby,IN,46468,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30468,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
469,Indiana Crossroads,1500 Maple Avenue,Shelbyville,Shelby,IN,46469,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30469,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.shelby-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
470,Hoosier Heritage Manor,1000 Main Street,Rockport,Spencer,IN,46470,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30470,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
471,Crossroads Commons,1100 State Street,Rockport,Spencer,IN,46471,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30471,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
472,Wabash Valley Care,1200 Washington Street,Rockport,Spencer,IN,46472,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30472,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
473,Circle City Manor,1300 Lincoln Avenue,Rockport,Spencer,IN,46473,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30473,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
474,Corn Belt Commons,1400 Oak Street,Rockport,Spencer,IN,46474,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30474,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
475,Indiana Crossroads,1500 Maple Avenue,Rockport,Spencer,IN,46475,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30475,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.spencer-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
476,Hoosier Heritage Manor,1000 Main Street,South Bend,St. Joseph,IN,46476,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30476,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.626400000000004,-86.292
477,Crossroads Commons,1100 State Street,South Bend,St. Joseph,IN,46477,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30477,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6364,-86.282
478,Wabash Valley Care,1200 Washington Street,South Bend,St. Joseph,IN,46478,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30478,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6464,-86.27199999999999
479,Circle City Manor,1300 Lincoln Avenue,South Bend,St. Joseph,IN,46479,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30479,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6564,-86.262
480,Corn Belt Commons,1400 Oak Street,South Bend,St. Joseph,IN,46480,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30480,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6664,-86.252
481,Indiana Crossroads,1500 Maple Avenue,South Bend,St. Joseph,IN,46481,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30481,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6764,-86.24199999999999
482,Limestone Ridge,1600 Pine Street,South Bend,St. Joseph,IN,46482,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30482,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.6864,-86.232
483,Prairie Creek Manor,1700 Cedar Avenue,South Bend,St. Joseph,IN,46483,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30483,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.696400000000004,-86.222
484,Heartland Village,1800 First Street,South Bend,St. Joseph,IN,46484,(325) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,IN-ALF-30484,Indiana State Department of Health,2024-11-09,83,False,True,True,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.7064,-86.292
485,Maple Grove Manor,1900 Second Street,South Bend,St. Joseph,IN,46485,(326) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,IN-ALF-30485,Indiana State Department of Health,2024-03-10,84,True,False,False,https://www.stjoseph-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.7164,-86.282
486,Hoosier Heritage Manor,1000 Main Street,Knox,Starke,IN,46486,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30486,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
487,Crossroads Commons,1100 State Street,Knox,Starke,IN,46487,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30487,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
488,Wabash Valley Care,1200 Washington Street,Knox,Starke,IN,46488,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30488,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
489,Circle City Manor,1300 Lincoln Avenue,Knox,Starke,IN,46489,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30489,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
490,Corn Belt Commons,1400 Oak Street,Knox,Starke,IN,46490,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30490,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
491,Indiana Crossroads,1500 Maple Avenue,Knox,Starke,IN,46491,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30491,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.starke-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
492,Hoosier Heritage Manor,1000 Main Street,Angola,Steuben,IN,46492,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30492,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
493,Crossroads Commons,1100 State Street,Angola,Steuben,IN,46493,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30493,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
494,Wabash Valley Care,1200 Washington Street,Angola,Steuben,IN,46494,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30494,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
495,Circle City Manor,1300 Lincoln Avenue,Angola,Steuben,IN,46495,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30495,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
496,Corn Belt Commons,1400 Oak Street,Angola,Steuben,IN,46496,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30496,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
497,Indiana Crossroads,1500 Maple Avenue,Angola,Steuben,IN,46497,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30497,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.steuben-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
498,Hoosier Heritage Manor,1000 Main Street,Sullivan,Sullivan,IN,46498,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30498,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
499,Crossroads Commons,1100 State Street,Sullivan,Sullivan,IN,46499,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30499,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
500,Wabash Valley Care,1200 Washington Street,Sullivan,Sullivan,IN,46500,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30500,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
501,Circle City Manor,1300 Lincoln Avenue,Sullivan,Sullivan,IN,46501,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30501,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
502,Corn Belt Commons,1400 Oak Street,Sullivan,Sullivan,IN,46502,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30502,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
503,Indiana Crossroads,1500 Maple Avenue,Sullivan,Sullivan,IN,46503,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30503,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.sullivan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
504,Hoosier Heritage Manor,1000 Main Street,Vevay,Switzerland,IN,46504,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30504,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
505,Crossroads Commons,1100 State Street,Vevay,Switzerland,IN,46505,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30505,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
506,Wabash Valley Care,1200 Washington Street,Vevay,Switzerland,IN,46506,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30506,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
507,Circle City Manor,1300 Lincoln Avenue,Vevay,Switzerland,IN,46507,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30507,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
508,Corn Belt Commons,1400 Oak Street,Vevay,Switzerland,IN,46508,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30508,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
509,Indiana Crossroads,1500 Maple Avenue,Vevay,Switzerland,IN,46509,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30509,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.switzerland-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
510,Hoosier Heritage Manor,1000 Main Street,Lafayette,Tippecanoe,IN,46510,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30510,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.3667,-86.9153
511,Crossroads Commons,1100 State Street,Lafayette,Tippecanoe,IN,46511,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30511,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.3767,-86.9053
512,Wabash Valley Care,1200 Washington Street,Lafayette,Tippecanoe,IN,46512,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30512,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.3867,-86.89529999999999
513,Circle City Manor,1300 Lincoln Avenue,Lafayette,Tippecanoe,IN,46513,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30513,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.396699999999996,-86.8853
514,Corn Belt Commons,1400 Oak Street,Lafayette,Tippecanoe,IN,46514,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30514,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4067,-86.8753
515,Indiana Crossroads,1500 Maple Avenue,Lafayette,Tippecanoe,IN,46515,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30515,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4167,-86.86529999999999
516,Limestone Ridge,1600 Pine Street,Lafayette,Tippecanoe,IN,46516,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30516,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4267,-86.8553
517,Prairie Creek Manor,1700 Cedar Avenue,Lafayette,Tippecanoe,IN,46517,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30517,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4367,-86.8453
518,Heartland Village,1800 First Street,Lafayette,Tippecanoe,IN,46518,(325) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,IN-ALF-30518,Indiana State Department of Health,2024-11-09,83,False,True,True,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4467,-86.9153
519,Maple Grove Manor,1900 Second Street,Lafayette,Tippecanoe,IN,46519,(326) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,IN-ALF-30519,Indiana State Department of Health,2024-03-10,84,True,False,False,https://www.tippecanoe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.4567,-86.9053
520,Hoosier Heritage Manor,1000 Main Street,Tipton,Tipton,IN,46520,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30520,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
521,Crossroads Commons,1100 State Street,Tipton,Tipton,IN,46521,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30521,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
522,Wabash Valley Care,1200 Washington Street,Tipton,Tipton,IN,46522,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30522,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
523,Circle City Manor,1300 Lincoln Avenue,Tipton,Tipton,IN,46523,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30523,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
524,Corn Belt Commons,1400 Oak Street,Tipton,Tipton,IN,46524,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30524,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
525,Indiana Crossroads,1500 Maple Avenue,Tipton,Tipton,IN,46525,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30525,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.tipton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
526,Hoosier Heritage Manor,1000 Main Street,Liberty,Union,IN,46526,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30526,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
527,Crossroads Commons,1100 State Street,Liberty,Union,IN,46527,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30527,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
528,Wabash Valley Care,1200 Washington Street,Liberty,Union,IN,46528,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30528,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
529,Circle City Manor,1300 Lincoln Avenue,Liberty,Union,IN,46529,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30529,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
530,Corn Belt Commons,1400 Oak Street,Liberty,Union,IN,46530,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30530,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
531,Indiana Crossroads,1500 Maple Avenue,Liberty,Union,IN,46531,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30531,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.union-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
532,Hoosier Heritage Manor,1000 Main Street,Evansville,Vanderburgh,IN,46532,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30532,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.921600000000005,-87.611
533,Crossroads Commons,1100 State Street,Evansville,Vanderburgh,IN,46533,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30533,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.9316,-87.601
534,Wabash Valley Care,1200 Washington Street,Evansville,Vanderburgh,IN,46534,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30534,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.9416,-87.591
535,Circle City Manor,1300 Lincoln Avenue,Evansville,Vanderburgh,IN,46535,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30535,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.9516,-87.581
536,Corn Belt Commons,1400 Oak Street,Evansville,Vanderburgh,IN,46536,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30536,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.961600000000004,-87.571
537,Indiana Crossroads,1500 Maple Avenue,Evansville,Vanderburgh,IN,46537,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30537,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.9716,-87.56099999999999
538,Limestone Ridge,1600 Pine Street,Evansville,Vanderburgh,IN,46538,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30538,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.vanderburgh-senior-living.com,Active,Indiana State Department of Health,2025-07-17,37.9816,-87.551
